system,n_gt,n_hyp,n_matched,label_recall,label_precision,start_mae_ms,end_mae_ms,boundary_mae_ms,dur_mae_ms,mean_iou,tbe_20ms,tbe_50ms,singer,canonical_stem
MFA,53,52,53,1.0,1.0192307692307692,10.339622641509468,14.566037735849095,12.452830188679279,18.943396226415118,0.7434679276768917,0.18867924528301888,0.018867924528301886,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0009
MFA,105,65,100,0.9523809523809523,1.5384615384615385,49.53000000000004,44.259999999999984,46.89500000000001,83.71000000000004,0.4418891215307963,0.73,0.42,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0010
MFA,105,65,100,0.9523809523809523,1.5384615384615385,49.53000000000004,44.259999999999984,46.89500000000001,83.71000000000004,0.4418891215307963,0.73,0.42,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0010
MFA,105,65,100,0.9523809523809523,1.5384615384615385,49.53000000000004,44.259999999999984,46.89500000000001,83.71000000000004,0.4418891215307963,0.73,0.42,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0010
MFA,105,65,100,0.9523809523809523,1.5384615384615385,49.53000000000004,44.259999999999984,46.89500000000001,83.71000000000004,0.4418891215307963,0.73,0.42,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0010
MFA,55,37,52,0.9454545454545454,1.4054054054054055,34.92307692307696,35.15384615384615,35.038461538461554,58.846153846153875,0.5368511983916461,0.5576923076923077,0.28846153846153844,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0011
MFA,55,37,52,0.9454545454545454,1.4054054054054055,34.92307692307696,35.15384615384615,35.038461538461554,58.846153846153875,0.5368511983916461,0.5576923076923077,0.28846153846153844,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0011
MFA,55,37,52,0.9454545454545454,1.4054054054054055,34.92307692307696,35.15384615384615,35.038461538461554,58.846153846153875,0.5368511983916461,0.5576923076923077,0.28846153846153844,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0011
MFA,55,37,52,0.9454545454545454,1.4054054054054055,34.92307692307696,35.15384615384615,35.038461538461554,58.846153846153875,0.5368511983916461,0.5576923076923077,0.28846153846153844,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0011
MFA,38,36,35,0.9210526315789473,0.9722222222222222,11.971428571428552,14.314285714285731,13.14285714285714,22.85714285714285,0.75048314834804,0.3142857142857143,0.02857142857142857,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0012
MFA,38,36,35,0.9210526315789473,0.9722222222222222,11.971428571428552,14.314285714285731,13.14285714285714,22.85714285714285,0.75048314834804,0.3142857142857143,0.02857142857142857,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0012
MFA,38,36,35,0.9210526315789473,0.9722222222222222,11.971428571428552,14.314285714285731,13.14285714285714,22.85714285714285,0.75048314834804,0.3142857142857143,0.02857142857142857,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0012
MFA,38,36,35,0.9210526315789473,0.9722222222222222,11.971428571428552,14.314285714285731,13.14285714285714,22.85714285714285,0.75048314834804,0.3142857142857143,0.02857142857142857,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0012
MFA,50,48,50,1.0,1.0416666666666667,18.500000000000004,14.719999999999965,16.609999999999985,25.540000000000024,0.6910151375316422,0.3,0.08,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0013
MFA,50,48,50,1.0,1.0416666666666667,18.500000000000004,14.719999999999965,16.609999999999985,25.540000000000024,0.6910151375316422,0.3,0.08,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0013
MFA,50,48,50,1.0,1.0416666666666667,18.500000000000004,14.719999999999965,16.609999999999985,25.540000000000024,0.6910151375316422,0.3,0.08,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0013
MFA,50,48,50,1.0,1.0416666666666667,18.500000000000004,14.719999999999965,16.609999999999985,25.540000000000024,0.6910151375316422,0.3,0.08,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0013
MFA,40,37,39,0.975,1.054054054054054,13.128205128205131,13.846153846153856,13.487179487179493,23.28205128205129,0.7291328851565226,0.23076923076923078,0.02564102564102564,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0014
MFA,40,37,39,0.975,1.054054054054054,13.128205128205131,13.846153846153856,13.487179487179493,23.28205128205129,0.7291328851565226,0.23076923076923078,0.02564102564102564,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0014
MFA,40,37,39,0.975,1.054054054054054,13.128205128205131,13.846153846153856,13.487179487179493,23.28205128205129,0.7291328851565226,0.23076923076923078,0.02564102564102564,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0014
MFA,40,37,39,0.975,1.054054054054054,13.128205128205131,13.846153846153856,13.487179487179493,23.28205128205129,0.7291328851565226,0.23076923076923078,0.02564102564102564,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0014
MFA,13,15,13,1.0,0.8666666666666667,20.769230769230823,20.769230769230823,20.769230769230823,35.384615384615444,0.729893621141328,0.38461538461538464,0.07692307692307693,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0000
MFA,72,70,67,0.9305555555555556,0.9571428571428572,37.00000000000005,29.552238805970187,33.27611940298512,55.835820895522495,0.6484298145650177,0.47761194029850745,0.23880597014925373,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0001
MFA,60,62,59,0.9833333333333333,0.9516129032258065,20.271186440677994,23.322033898305055,21.796610169491526,35.05084745762715,0.6646646152390032,0.3559322033898305,0.0847457627118644,EN-Alto-1,en-alto-1_pharyngeal_who_says_pharyngeal_group_0002
